val_acc,epoch,step,val_loss,train_acc,train_loss,test_acc
0.644444465637207,0,1,0.7127131223678589,,,
,0,1,,0.5111111402511597,0.6723597645759583,
0.644444465637207,1,3,0.6902786493301392,,,
,1,3,,0.699999988079071,0.6524859666824341,
0.644444465637207,2,5,0.6728054285049438,,,
,2,5,,0.699999988079071,0.643903374671936,
0.644444465637207,3,7,0.667244017124176,,,
,3,7,,0.699999988079071,0.6145749688148499,
0.644444465637207,4,9,0.6505231857299805,,,
,4,9,,0.699999988079071,0.6201404333114624,
0.644444465637207,5,11,0.6456344723701477,,,
,5,11,,0.699999988079071,0.6198299527168274,
0.644444465637207,6,13,0.6433039307594299,,,
,6,13,,0.699999988079071,0.6091171503067017,
0.644444465637207,7,15,0.6428578495979309,,,
,7,15,,0.699999988079071,0.594818651676178,
0.644444465637207,8,17,0.6448696851730347,,,
,8,17,,0.699999988079071,0.6112486124038696,
0.644444465637207,9,19,0.6522278785705566,,,
,9,19,,0.699999988079071,0.6113755702972412,
0.644444465637207,10,21,0.6645781397819519,,,
,10,21,,0.699999988079071,0.6220458745956421,
0.644444465637207,11,23,0.6590847373008728,,,
,11,23,,0.699999988079071,0.6327874660491943,
0.644444465637207,12,25,0.6550182700157166,,,
,12,25,,0.699999988079071,0.6272233724594116,
0.644444465637207,13,27,0.649248480796814,,,
,13,27,,0.699999988079071,0.6012269258499146,
0.644444465637207,14,29,0.6300058960914612,,,
,14,29,,0.699999988079071,0.6123456954956055,
0.6666666865348816,15,31,0.6261619925498962,,,
,15,31,,0.7111111283302307,0.6114468574523926,
0.644444465637207,16,33,0.6253567934036255,,,
,16,33,,0.7333333492279053,0.6005510687828064,
0.644444465637207,17,35,0.6325926184654236,,,
,17,35,,0.699999988079071,0.6053070425987244,
0.644444465637207,18,37,0.6505354046821594,,,
,18,37,,0.7111111283302307,0.5806592106819153,
0.644444465637207,19,39,0.6403588056564331,,,
,19,39,,0.699999988079071,0.6072549819946289,
0.644444465637207,20,41,0.6203468441963196,,,
,20,41,,0.699999988079071,0.591518759727478,
0.6888889074325562,21,43,0.6147400736808777,,,
,21,43,,0.7222222089767456,0.6244475245475769,
0.644444465637207,22,45,0.6224325299263,,,
,22,45,,0.7333333492279053,0.5898007750511169,
0.644444465637207,23,47,0.6327772736549377,,,
,23,47,,0.699999988079071,0.5939009189605713,
0.644444465637207,24,49,0.6304193139076233,,,
,24,49,,0.699999988079071,0.5928688049316406,
0.6666666865348816,25,51,0.6175910234451294,,,
,25,51,,0.699999988079071,0.5827775001525879,
0.6666666865348816,26,53,0.6110481023788452,,,
,26,53,,0.7111111283302307,0.5855270624160767,
0.6888889074325562,27,55,0.6036185026168823,,,
,27,55,,0.7333333492279053,0.5853996276855469,
0.7111111283302307,28,57,0.5934415459632874,,,
,28,57,,0.7111111283302307,0.5740435123443604,
0.7333333492279053,29,59,0.5870158076286316,,,
,29,59,,0.7444444298744202,0.577734112739563,
0.7111111283302307,30,61,0.581645131111145,,,
,30,61,,0.7777777910232544,0.5743733644485474,
0.6888889074325562,31,63,0.5923963785171509,,,
,31,63,,0.7444444298744202,0.5798272490501404,
0.7333333492279053,32,65,0.5683481693267822,,,
,32,65,,0.7444444298744202,0.5409555435180664,
